Municipality,Population,Sales Tax,Fines and Fees,FF Per Capita,ST per Capita,General Revenue,FF as Percent of General Revenue,Without Sales Tax,With Fines and Fees under Cap,Best Course
Ballwin,30443,8177296,1031778.24,33.89213415,268.6100581,17620540,0.0586,9443244,17620540,Unaffected
Bel-Nor,1492,217620,84413.62,56.5774933,145.8579088,755600,0.1117,537980,746746.38,Reduce fines
Bel-Ridge,2728,465098,362433.02,132.8566789,170.4904692,1481633,0.2446,1016535,1267363.28,Reduce fines
Bella Villa,727,150771,371393.4,510.8574966,207.3878955,647243,0.5738,496472,340573.9,Continue over limit
Bellefontaine Neighbors,10828,1418847,685700.21,63.32658016,131.0350018,4918310,0.1394,3499463,4724440.79,Reduce fines
Bellerive Acres,189,45000,71979,380.8412698,238.0952381,245032.45,0.2938,200032.45,197556.695,Continue over limit
Berkeley,8953,3389439,951411.64,106.2673562,378.5813694,8680716,0.1096,5291277,8597375.96,Reduce fines
Beverly Hills,571,119050,221164.63,387.3285989,208.4938704,838833,0.2637,719783,701551.67,Continue over limit
Black Jack,6920,823576,93072.6,13.44979769,119.0138728,2621186,0.0355,1797610,2621186,Unaffected
Breckenridge Hills,4729,6805000,622635.66,131.6632819,1438.993445,2160734,0.2882,-4644266,1754171.74,Reduce fines
Brentwood,8035,13878437,470867.5,58.60205352,1727.247915,11780199,0.04,-2098238,11780199,Unaffected
Bridgeton,11630,10452653,349145.32,30.02109372,898.7663801,12887494,0.0271,2434841,12887494,Unaffected
Calverton Park,1291,169954,482931.06,374.075182,131.6452363,728226,0.6632,558272,318117.54,Continue over limit
Champ,13,1600,,,123.0769231,48757,0,47157,48757,Unaffected
Charlack,1362,233229,291634.04,214.121909,171.2400881,1009747,0.2888,776518,819087.66,Reduce fines
Chesterfield,47684,6124860,1340142.85,28.10466509,128.4468585,21125292,0.0634,15000432,21125292,Unaffected
Clarkson Valley,2639,370000,161604.29,61.23694202,140.204623,881785,0.1833,511785,808359.21,Reduce fines
Clayton,15910,5650981,672028.82,42.23939786,355.1842238,21761741,0.0309,16110760,21761741,Unaffected
Cool Valley,1194,153780,366762.73,307.1714657,128.7939698,1259770,0.2911,1105990,1018984.27,Continue over limit
Country Club Hills,1268,218260,220617.52,173.9885804,172.1293375,1400359,0.1575,1182099,1319777.38,Reduce fines
Country Life Acres,74,10237,,,138.3378378,84041,0,73804,84041,Unaffected
Crestwood,11926,5534377,250272.35,20.98543938,464.0597853,7800717,0.0321,2266340,7800717,Unaffected
Creve Coeur,17855,6475114,1966254.13,110.1234461,362.649902,16365796,0.1201,9890682,16036121.47,Reduce fines
Crystal Lake Park,475,60331,,,127.0126316,222147,0,161816,222147,Unaffected
Dellwood,5010,664100,244693.68,48.84105389,132.5548902,3434353,0.0712,2770253,3434353,Unaffected
Des Peres,8420,10204911,433576.22,51.49361283,1211.984679,9782524,0.0443,-422387,9782524,Unaffected
Edmundson,836,234388,559465.19,669.2167344,280.3684211,1604815,0.3486,1370427,1205831.31,Continue over limit
Ellisville,9143,4612205,596931.82,65.28839768,504.4520398,5905836,0.1011,1293631,5899487.78,Reduce fines
Eureka,10391,4563336,143935.52,13.8519411,439.162352,4853231.76,0.0297,289895.76,4853231.76,Unaffected
Fenton,4037,1877349,421831.5,104.4913302,465.0356701,5607923,0.0752,3730574,5607923,Unaffected
Ferguson,21135,7483584,1832519.08,86.70542134,354.0848829,12746894,0.1438,5263310,12189064.32,Reduce fines
Flordell Hills,820,175000,116351,141.8914634,213.4146341,516749.12,0.2252,341749.12,452073.032,Reduce fines
Florissant,52252,14616708,2421796.88,46.34840542,279.7349001,23120332,0.1047,8503624,23010568.32,Reduce fines
Frontenac,3508,2344276,513790.26,146.4624458,668.2656784,5962282,0.0862,3618006,5962282,Unaffected
Glen Echo Park,160,21308,,,133.175,41974.36,0,20666.36,41974.36,Unaffected
Glendale,5920,802341,143193.52,24.18809459,135.5305743,3746924,0.0382,2944583,3746924,Unaffected
Grantwood Village,865,279802,7003.43,8.096450867,323.4705202,387995,0.0181,108193,387995,Unaffected
Green Park,2628,326000,,,124.0487062,1125902,0,799902,1125902,Unaffected
Greendale,653,139283,40466.98,61.97087289,213.2970904,357424,0.1132,218141,352699.42,Reduce fines
Hanley Hills,2102,250000,67325.66,32.02933397,118.9343482,635500,0.1059,385500,631724.34,Reduce fines
Hazelwood,25677,7258689,1307572.29,50.92387312,282.6922538,23809852,0.0549,16551163,23809852,Unaffected
Hillsdale,1505,285000,224549.5,149.2023256,189.3687708,834035.72,0.2692,549035.72,692889.792,Reduce fines
Huntleigh,335,42000,,,125.3731343,136396.24,0,94396.24,136396.24,Unaffected
Jennings,14740,2315399,436218.75,29.59421642,157.0827001,7737693,0.0564,5422294,7737693,Unaffected
Kinloch,299,58620,9172.5,30.67725753,196.0535117,900777.77,0.0102,842157.77,900777.77,Unaffected
Kirkwood,27533,9236068,528689.94,19.20204627,335.4544728,19297564,0.0274,10061496,19297564,Unaffected
Ladue,8542,3834136,457914.57,53.60741864,448.8569422,11775575,0.0389,7941439,11775575,Unaffected
Lakeshire,1428,185000,18851.26,13.20116246,129.5518207,554181.4,0.034,369181.4,554181.4,Unaffected
Mackenzie,134,Information not received at time of publication,,,,48461.73,0,#VALUE!,48461.73,Unaffected
Manchester,18165,10804917,430901.44,23.72152161,594.8206441,8202013,0.0525,-2602904,8202013,Unaffected
Maplewood,8017,6879656,837773.52,104.4996283,858.1334664,8844064,0.0947,1964408,8844064,Unaffected
Marlborough,2184,239884,91461,41.87774725,109.8369963,575062,0.159,335178,541107.2,Reduce fines
Maryland Heights,27446,7229184,1745016.06,63.57997741,263.3966334,22420540,0.0778,15191356,22420540,Unaffected
Moline Acres,2436,317550,503060.81,206.5110057,130.3571429,1619488,0.3106,1301938,1278375.99,Continue over limit
Normandy,4993,Information not received at time of publication,1725753.43,345.6345744,,4249631,0.4061,#VALUE!,2948840.67,#VALUE!
Northwoods,4208,590000,690534.26,164.100347,140.2091255,2620992,0.2635,2030992,2192556.94,Reduce fines
Norwood Court,961,124625,,0,129.6826223,182616,0,57991,182616,Unaffected
Oakland,1379,190000,88929.5,64.48839739,137.7810007,675079,0.1317,485079,653657.4,Reduce fines
Olivette,7785,2192883,292184.3,37.53170199,281.6805395,7046302,0.0415,4853419,7046302,Unaffected
Overland,16006,3476302,475840,29.72885168,217.1874297,8255774,0.0576,4779472,8255774,Unaffected
Pacific,7031,1313688,,,186.8422699,3767395,0,2453707,3767395,Unaffected
Pagedale,3303,476872,356600.5,107.9626097,144.3754163,2016430,0.1768,1539558,1861472.5,Reduce fines
Pasadena Hills,930,222948,0,0,239.7290323,384979,0,162031,384979,Unaffected
Pasadena Park,467,60500,0,0,129.5503212,146446,0,85946,146446,Unaffected
Pine Lawn,3261,719829,1841985.19,564.8528642,220.7387305,3827753,0.4812,3107924,2368543.11,Continue over limit
Richmond Heights,8566,10454703,809252.37,94.47260915,1220.488326,12109281,0.0668,1654578,12109281,Unaffected
Riverview,2844,542556,105383.63,37.05472222,190.7721519,913332,0.1154,370776,899281.57,Reduce fines
Rock Hill,4635,1983516,628509.99,135.6008608,427.9430421,3370845,0.1865,1387329,3079419.51,Reduce fines
Shrewsbury,6243,2710354,378706.45,60.66097229,434.14288,5997095,0.0631,3286741,5997095,Unaffected
St. Ann,12978,3031921,3415670.68,263.1892957,233.6200493,9115012,0.3747,6083091,6610842.52,Reduce fines
St. John,6494,1330000,932313.05,143.5652987,204.8044349,3835573,0.2431,2505573,3286817.25,Reduce fines
St. Louis City[157],318172,164174000,8340407.07,26.21351681,515.9913506,430213000,0.0194,266039000,430213000,Unaffected
St. Louis County[164],1000438,293552457,5846002.04,5.843442612,293.4239373,341291336,0.0171,47738879,341291336,Unaffected
Sunset Hills,8516,4346783,404952.92,47.55201033,510.4254345,7253769,0.0558,2906986,7253769,Unaffected
Sycamore Hills,667,86636,40126,60.15892054,129.8890555,174844,0.2295,88208,152202.4,Reduce fines
Town and Country,10866,4732389,1504836.51,138.4903838,435.5226394,10040225,0.1499,5307836,9539410.99,Reduce fines
Twin Oaks,393,927040,,,2358.880407,572292,0,-354748,572292,Unaffected
University City,35228,9136998,571515.75,16.22333797,259.3674918,26917526,0.0212,17780528,26917526,Unaffected
Uplands Park,446,61765,90934.5,203.8890135,138.4865471,386887,0.235,325122,334641.2,Reduce fines
Valley Park,6968,795520,221431.9,31.77840126,114.1676234,3290258,0.0673,2494738,3290258,Unaffected
Velda City,1413,182000,224909.2,159.1714084,128.8039632,1042254,0.2158,860254,921570.2,Reduce fines
Velda Village Hills,1053,137798,41497.17,39.40851852,130.8622982,420343,0.0987,282545,420343,Unaffected
Vinita Park,1880,547259,262230.52,139.4843191,291.0952128,2156671,0.1216,1609412,2110107.58,Reduce fines
Vinita Terrace,278,48616,121144.67,435.7721942,174.8776978,233738.19,0.5183,185122.19,135967.339,Continue over limit
Warson Woods,1957,547269,43910.5,22.43765968,279.6469085,1518054,0.0289,970785,1518054,Unaffected
Webster Groves,23055,6365732,1011126.4,43.85714162,276.1106918,14955343,0.0676,8589611,14955343,Unaffected
Wellston,2342,446922,342035.57,146.0442229,190.8292058,2810091,0.1217,2363169,2749064.53,Reduce fines
Westwood,279,33599,,,120.4265233,,,,,Unaffected
Wilbur Park,472,60500,,,128.1779661,131916,0,71416,131916,Unaffected
Wildwood,35698,6773496,615040.42,17.22898818,189.7444115,9051444,0.0679,2277948,9051444,Unaffected
Winchester,1546,198000,50361,32.57503234,128.072445,778189,0.0647,580189,778189,Unaffected
Woodson Terrace,4064,"2,014,859",244039.51,60.04909203,495.7822343,3706617,0.0658,1691758,3706617,Unaffected
